square;price;floor;type;;
105.36;12.9;3;;;
76.1;12.9;8;2к;;
79.08;12.9;12;2к;;
66.75;12.95;6;2к;;
78.17;12.95;8;1к;;
83.32;13;2;3к;;
94.26;13;8;2к;;
105.36;13.1;5;;;
83.32;13.2;3;3к;;
77.34;13.45;10;3к;;
81.57;13.45;14;3к;;
82.71;13.6;7;3к;;
102.79;13.7;9;3к;;
101.65;13.85;9;3к;;
88.99;14;25;3к;;
107.23;14.2;8;3к;;
88.99;14.2;27;3к;;
75.59;14.25;12;2к;;
95.69;14.3;8;1к;;
82.1;14.5;9;2к;;
92.31;14.95;26;1к;;
99.2;15.9;3;3к;;
106.87;15.95;8;2к;;
89.54;16.6;15;2к;;
84.53;16.7;21;3к;;
107.76;17.3;3;;;
93.92;17.4;9;2к;;
116.16;17.45;2;;;
107.18;17.6;6;;;
61.5;18;21;1к;;
107.83;18.3;8;3к;;
102.36;18.95;9;2к;;
100.78;20.1;23;2к;;
102.91;20.45;7;2к;;
107.72;21.5;11;2к;;
107.77;21.5;11;2к;;
124.93;21.55;7;2к;;
112.03;21.65;19;3к;;
106.8;21.85;10;2к;;
109.7;22.05;26;;;
123.33;22.4;7;3к;;
119.69;22.45;9;3к;;
109.54;22.55;14;1к;;
115.73;22.85;31;3к;;
